fileName	dwellTimeCentre	dwellTimeTail	dwellTimeHead
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	70.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	20.0	20.0	20.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	110.0	50.0	30.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	40.0	50.0	50.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	40.0	10.0	20.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	20.0	10.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data		10.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data		30.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data		10.0	50.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	20.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	20.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	20.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	10.0
FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	20.0	110.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	40.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	110.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	30.0	10.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	20.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	30.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	20.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	30.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	30.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	30.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	20.0	30.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	20.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	30.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	20.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	30.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data_dwell_data	10.0	10.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	10.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	20.0	20.0	40.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	20.0	20.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	30.0	50.0	160.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	50.0	50.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	60.0	50.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	20.0	40.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	40.0	50.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	20.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	40.0	20.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	20.0	40.0	40.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	40.0	20.0	40.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	30.0	10.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	50.0	30.0	50.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	20.0	20.0	40.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	50.0	30.0	50.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data_summary_data	20.0	20.0	
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	70.0	100.0	80.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	50.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	100.0	80.0	70.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	70.0	70.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	60.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	20.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	70.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	60.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	60.0	30.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	10.0	70.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	60.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	60.0	10.0	110.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	70.0	50.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	20.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	70.0	70.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	60.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	30.0	20.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	10.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	60.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	20.0	
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	70.0	
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data		10.0
