	FilamentID	label	filLength[um]	trackLength[um]	expectedReversals	nReversals	maxSpeed[um_sec]	meanSpeed[um_sec]	medianSpeed[um_sec]	meanDwellTime[sec]	meanDwellTime_endA[sec]	meanDwellTime_endB[sec]	sparsityForSplines	splineOrder	speedLimitForDwell[um_sec]	obsDuration[sec]	useForNreversalPlot
0	FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data	0	80.15711526397503	324.0660562772824	5.0	7	1.7201603521889268	0.6827735863485245	0.638257539912039	3.5714285714285716	2.2	2.7	5	3	0.15	1890	1
0	FCCPset_03_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data	0	29.320088720855143	221.422064031908	7.0	8	1.3130499626770598	0.7061346837875233	0.7565963932367012	1.0	1.1428571428571428	1.2857142857142858	5	3	0.15	1890	1
0	FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F1_data	0	70.82846655998023	144.05049644810657	16.0	15	0.9820181826368735	0.4930546173104235	0.5207677543405644	1.2	1.7333333333333334	1.8	10	3	0.15	2330.0	1
0	FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F2_data	0	42.53304247987239	84.58597636095556	18.0	17	0.5925497768570944	0.3220121142423372	0.3465901856189877	1.8235294117647058	1.7058823529411764	1.588235294117647	10	3	0.15	2330.0	1
0	FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T1_F3_data	0	31.80472984721962	60.17178106252704	19.0	17	1.051875461287807	0.236652932160968	0.2390219776270186	3.176470588235294	4.0	2.8823529411764706	10	3	0.15	2330.0	1
0	FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data	1	34.937259536610945	76.49130157484967	19.0	24	0.6632399076196851	0.25026743338415697	0.23356197489948044	3.5833333333333335	3.8181818181818183	3.64	5	3	0.15	3100	1
0	FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data	1	45.447066525038075	82.93866787472648	16.0	17	0.5904632539438278	0.1978567482178937	0.1510091910103083	8.117647058823529	7.5	7.315789473684211	5	3	0.15	3100	1
0	FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data	1	57.82453903314089	178.43294193663235	10.0	10	0.8617418118941041	0.3740781515550956	0.3281121415903958	4.3	4.1	3.8	10	3	0.1	3090.0	1
0	Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_1_450_data	2	124.02696266738168	620.2488694368943	3.0	5	1.743337431904478	0.7538031414702425	0.7763374297773196	5.6	5.0	5.333333333333333	50	3	0.15	2250	0
0	Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data	2	122.40471283009543	716.373146934789	10.0	12	1.5203711009793386	0.8158142548326784	0.8747869674820408	7.833333333333333	6.9	8.785714285714286	50	3	0.15	7380	1
0	Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data	3	624.8173157826803	1107.0778488814678	7.0	16	0.7588370368333791	0.31578287196739296	0.29505795922144784	33.4375	29.5625	28.8125	50	3	0.15	10000	0
0	Olympus_x4_5sec_2023-12-04_pos01_filamentA_data	4	215.9555468213343	675.9478450938478	14.0	14	2.177056651152026	0.8300307905266077	0.8392113696013431	14.0	8.083333333333334	21.0	50	3	0.15	7750	1
0	Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data	5	80.97547426224027	388.1659616224074	6.0	17	1.2545185760287871	0.24419986182120287	0.20001734207493355	17.58823529411765	17.41176470588235	17.529411764705884	15	3	0.15	7090.0	0
0	Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data	5	68.10007040120811	291.6272198313322	5.0	17	0.9610714130177335	0.24932262738940406	0.2278246865041961	8.882352941176471	9.066666666666666	8.789473684210526	15	3	0.15	4600.0	0
0	Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data	5	70.89615517687977	272.9263741513694	5.0	10	0.7940099321589467	0.2880906869716273	0.24573446752381176	10.5	12.25	10.416666666666666	10	3	0.15	3300.0	0
